_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
135,427200,2818.0,245.0,178.0,1538.0,137.0,102.0,1280.0,108.0,76.0,2016.0
136,428100,673.0,93.0,63.0,359.0,39.0,23.0,314.0,54.0,40.0,2016.0
137,428200,1292.0,157.0,109.0,693.0,70.0,49.0,599.0,87.0,60.0,2016.0
138,429100,1267.0,116.0,85.0,692.0,55.0,46.0,575.0,61.0,39.0,2016.0
139,429201,2369.0,197.0,126.0,1245.0,91.0,58.0,1124.0,106.0,68.0,2016.0
140,429202,2680.0,208.0,154.0,1480.0,94.0,67.0,1200.0,114.0,87.0,2016.0
141,429300,3138.0,322.0,226.0,1728.0,157.0,107.0,1410.0,165.0,119.0,2016.0
142,429400,2315.0,172.0,114.0,1248.0,76.0,54.0,1067.0,96.0,60.0,2016.0
143,429500,2222.0,210.0,156.0,1272.0,107.0,80.0,950.0,103.0,76.0,2016.0
144,429600,1791.0,163.0,124.0,1004.0,87.0,65.0,787.0,76.0,59.0,2016.0
145,429700,1320.0,142.0,100.0,702.0,66.0,51.0,618.0,76.0,49.0,2016.0
146,430100,1095.0,89.0,74.0,606.0,46.0,39.0,489.0,43.0,35.0,2016.0
147,430200,2727.0,244.0,173.0,1512.0,132.0,99.0,1215.0,112.0,74.0,2016.0
148,431100,1524.0,136.0,98.0,858.0,67.0,52.0,666.0,69.0,46.0,2016.0
149,431400,931.0,76.0,65.0,521.0,34.0,32.0,410.0,42.0,33.0,2016.0
150,431500,1492.0,126.0,100.0,808.0,69.0,55.0,684.0,57.0,45.0,2016.0
151,432300,1109.0,129.0,93.0,622.0,77.0,57.0,487.0,52.0,36.0,2016.0
152,432400,1288.0,130.0,107.0,747.0,68.0,54.0,541.0,62.0,53.0,2016.0
153,434000,1040.0,45.0,36.0,552.0,25.0,23.0,488.0,20.0,13.0,2016.0
154,435000,1335.0,106.0,76.0,709.0,57.0,37.0,626.0,49.0,39.0,2016.0
155,437000,3232.0,176.0,142.0,1659.0,69.0,62.0,1573.0,107.0,80.0,2016.0
156,439000,701.0,44.0,34.0,366.0,16.0,13.0,335.0,28.0,21.0,2016.0
157,445500,1997.0,115.0,90.0,1104.0,54.0,45.0,893.0,61.0,45.0,2016.0
158,446000,937.0,31.0,22.0,489.0,17.0,11.0,448.0,14.0,11.0,2016.0
159,447000,688.0,31.0,25.0,374.0,19.0,14.0,314.0,12.0,11.0,2016.0
160,448000,612.0,61.0,40.0,351.0,31.0,17.0,261.0,30.0,23.0,2016.0
161,449000,1284.0,150.0,112.0,660.0,68.0,52.0,624.0,82.0,60.0,2016.0
162,450700,1495.0,179.0,133.0,815.0,89.0,68.0,680.0,90.0,65.0,2016.0
163,450800,1281.0,142.0,109.0,719.0,79.0,60.0,562.0,63.0,49.0,2016.0
164,451101,1828.0,137.0,97.0,990.0,66.0,44.0,838.0,71.0,53.0,2016.0
165,451102,1930.0,171.0,125.0,1014.0,79.0,59.0,916.0,92.0,66.0,2016.0
166,451104,1860.0,108.0,85.0,973.0,48.0,39.0,887.0,60.0,46.0,2016.0
167,451105,1896.0,163.0,127.0,995.0,81.0,62.0,901.0,82.0,65.0,2016.0
168,451300,3988.0,312.0,222.0,2092.0,133.0,97.0,1896.0,179.0,125.0,2016.0
169,452000,2384.0,202.0,149.0,1312.0,103.0,75.0,1072.0,99.0,74.0,2016.0
170,453003,1061.0,99.0,88.0,547.0,47.0,41.0,514.0,52.0,47.0,2016.0
171,453004,2920.0,222.0,170.0,1577.0,109.0,85.0,1343.0,113.0,85.0,2016.0
172,455000,796.0,88.0,61.0,408.0,36.0,27.0,388.0,52.0,34.0,2016.0
173,456001,1160.0,75.0,54.0,617.0,38.0,24.0,543.0,37.0,30.0,2016.0
174,456003,2407.0,167.0,120.0,1285.0,85.0,61.0,1122.0,82.0,59.0,2016.0
175,456004,2360.0,193.0,147.0,1309.0,94.0,77.0,1051.0,99.0,70.0,2016.0
